"Période";"Prix au détail du gaz hors TVA tranches I1 à I5";"Prix au détail du gaz hors TVA tranche I1";"Prix au détail du gaz hors TVA tranche I2";"Prix au détail du gaz hors TVA tranche I3";"Prix au détail du gaz hors TVA tranche I4";"Prix au détail du gaz hors TVA tranche I5";"Prix au détail du gaz hors TVA tranche I6";"Prix au détail du gaz hors TVA toutes tranches"
"PERIODE";"PX_GAZ_I_TRANCHES_I1_I5";"PX_GAZ_I_I1";"PX_GAZ_I_I2";"PX_GAZ_I_I3";"PX_GAZ_I_I4";"PX_GAZ_I_I5";"PX_GAZ_I_I6";"PX_GAZ_I_TTES_TRANCHES"
"2011-07";3.7389;5.4732;4.5571;3.7727;2.8576;2.9814;;
"2011-04";3.6991;4.704;4.2229;3.5833;2.7169;2.6464;;
"2010-07";3.508;4.7909;4.0472;3.4868;2.7692;2.5042;;
"2010-01";3.3795;4.2412;3.6595;3.3072;2.7312;2.1993;;
"2009-10";3.1781;4.3021;3.5097;3.1644;2.6787;2.4876;;
"2004-12";;;;;;;;
"2004-01";;;;;;;;
"2003-01";;;;;;;;
"2002-03";;;;;;;;
"2000-07";;;;;;;;
"1998-02";;;;;;;;
"1997-08";;;;;;;;
"1996-04";;;;;;;;
"1996-02";;;;;;;;
"1994-08";;;;;;;;
"1994-01";;;;;;;;
"1992-08";;;;;;;;
"1992-01";;;;;;;;
"1991-09";;;;;;;;
"1991-07";;;;;;;;
"1988-06";;;;;;;;
"1985-01";;;;;;;;
"1983-11";;;;;;;;
"1982-11";;;;;;;;
"1982-03";;;;;;;;
"1980-11";;;;;;;;
"1979-09";;;;;;;;
"2016-09";3.2525;4.9906;4.1384;3.7841;2.3971;2.2171;;
"2013-08";3.9929;6.4926;4.9107;3.8685;3.1714;2.9772;;
"2009-02";3.7245;4.4746;4.0321;3.6002;3.0632;2.671;;
"2005-12";;;;;;;;
"2005-01";;;;;;;;
"2004-08";;;;;;;;
"2004-07";;;;;;;;
"2003-09";;;;;;;;
"2003-03";;;;;;;;
"2001-09";;;;;;;;
"1997-04";;;;;;;;
"1997-01";;;;;;;;
"1995-06";;;;;;;;
"1994-02";;;;;;;;
"1992-11";;;;;;;;
"1992-06";;;;;;;;
"1982-04";;;;;;;;
"1979-08";;;;;;;;
"2016-12";3.2525;4.9906;4.1384;3.7841;2.3971;2.2171;;
"2016-11";3.2525;4.9906;4.1384;3.7841;2.3971;2.2171;;
"2016-07";3.2525;4.9906;4.1384;3.7841;2.3971;2.2171;;
"2014-09";3.7927;6.1712;4.7371;3.7865;3.0608;2.6936;;
"2013-03";4.2574;5.8853;4.9982;4.0468;3.1531;3.0585;;
"2012-09";4.1012;6.4722;5.1315;4.0266;3.0822;2.9833;;
"2012-08";4.1012;6.4722;5.1315;4.0266;3.0822;2.9833;;
"2011-11";3.7389;5.4732;4.5571;3.7727;2.8576;2.9814;;
"2010-09";3.508;4.7909;4.0472;3.4868;2.7692;2.5042;;
"2010-06";3.3795;4.2412;3.6595;3.3072;2.7312;2.1993;;
"2007-10";3.1004;4.1234;3.4608;3.0625;2.7388;2.5678;;
"2007-09";3.1004;4.1234;3.4608;3.0625;2.7388;2.5678;;
"2007-05";3.0684;3.68;3.4352;2.9946;2.6408;2.4168;;
