"Période";"1. Production de pétrole (brut et hydrocarbures extraits du gaz naturel en kt)";"1.1 Production de pétrole brut (en kt)";"1.2 Production d'hydrocarbures extraits du gaz naturel (en kt)";"2. Solde importateur (importations - exportations) tous produits pétroliers (en kt)";"2.1 Importations totales de produits pétroliers (en kt)";"2.1.1 Importations de pétrole brut et condensats (en kt)";"2.1.2 Importations d'autres produits à distiller (APD) (en kt)";"2.1.3 Importations de produits pétroliers raffinés (en kt)";"2.2 Exportations de produits pétroliers raffinés (en kt)";"3. Marché des soutes maritimes (françaises et étrangères) (en kt)";"5. Consommation totale de produits pétroliers nette de l'autoconsommation des raffineries  (en kt)";"5.1 Ventes totales de fioul lourd (FOL) (en kt)";"5.1.1 Ventes de fioul lourd (FOL) à l'industrie (en kt)";"5.1.2 Ventes de fioul lourd (FOL) aux centrales (en kt)";"5.2 Ventes de supercarburants auto (en kt)";"5.2.1 Livraisons de SP95 (en kt)";"5.2.2 Livraisons de SP95-E10 (en kt)";"5.2.3 Livraisons de SP98 (en kt)";"5.3 Ventes de gazole (en kt)";"5.4 Ventes de fioul domestique (FOD) (en kt)";"5.5 Ventes de gazole non routier (en kt)";"5.6 Ventes de carburéacteur (en kt)";"5.7 Ventes de gaz de pétrole liquéfiés (GPL : Butane, Propane, GPL-carburant) (en kt)";"5.8 Ventes de bases pétrochimie (en kt)";"5.9 Autres produits (hors gazole, supercarburants, carburéacteurs, FOD, GnR, GPL, pétrochimie, dont usages non-énergétique, en kt)";"6. Consommation totale de produits pétroliers CVC-CJO (en kt)";"6.2 Ventes de supercarburants auto CVC-CJO (en kt)";"6.3 Ventes de gazole CVC-CJO (en kt)";"6.4 Ventes de fioul domestique (FOD) CVC-CJO (en kt)";"6.5 Ventes de gazole non routier CVC-CJO (en kt)";"6.6 Ventes de carburéacteurs CVC-CJO (en kt)";"6.7 Ventes de gaz de pétrole liquéfiés (GPL : Butane, Propane, GPL-carburant) CVC-CJO (en kt)";"6.9 Autres produits (hors gazole, supercarburants, carburéacteurs, FOD, GnR, GPL, pétrochimie, dont usages non-énergétique) CVC-CJO (en kt)";"7. Consommation totale de produits pétroliers CVS-CVC-CJO (en kt)";"7.2 Ventes de supercarburants auto CVS-CVC-CJO (en kt)";"7.3 Ventes de gazole CVS-CVC-CJO (en kt)";"7.4 Ventes de fioul domestique (FOD) CVS-CVC-CJO (en kt)";"7.5 Ventes de gazole non routier CVS-CVC-CJO (en kt)";"7.6 Ventes de carburéacteurs CVS-CVC-CJO (en kt)";"7.7 Ventes de gaz de pétrole liquéfiés (GPL : Butane, Propane, GPL-carburant) CVS-CVC-CJO (en kt)";"7.9 Autres produits (hors gazole, supercarburants, carburéacteurs, FOD, GnR, GPL, pétrochimie, dont usages non-énergétique) CVS-CVC-CJO (en kt)";"8. Ventes de produits à usage non énergétique, y compris bases pétrochimie (en kt)";"9. Consommation de carburants routiers (en kt)";"10. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"11. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"2009-09";76;73.2;2.8;6459.202;8206.107;5452.6;0;2753.507;1746.906;219.5;6749.914;159.4;113.4;46;744;539.314;61.768;142.934;2845.7;1119.6;;509.8;147.3;635;748.514;;;;;;;;;6461.829;717.481;2746.072;1000.873;0;484.363;189.254;651.5;1101.3;3589.7;0;1
"2009-03";81;78;3;8729.103;10632.046;6345.3;31.3;4255.446;1902.943;212.6;7083.7;244.8;158.9;85.9;702.7;558.772;;143.901;2734.1;1357;;502.5;229.9;698;859.5;;;;;;;;;6820.94;736.746;2683.533;1209.305;0;517.279;189.274;789.089;998.4;3436.8;276.464;1.081
"2008-02";81.4;78.6;2.8;6701.367;8880.376;5944.3;0;2936.076;2179.009;239.6;6739.6;213;162;51;700.1;547.673;;152.365;2656.3;1290.2;;501.1;268.5;810;513.4;;;;;;;;;6961.652;796.054;2784.461;1145.393;0;559.686;191.578;628.253;1055.3;3356.4;283.622;0.887
"2017-09";62.8;62.8;0;6083.429;7961.482;4659.613;0;3301.869;1878.052;162.546;6677.307;40.6;30;10.6;688.1;261.197;264.6;162.285;3035.6;646.4;432.1;581.107;116.8;669;508.2;6735.293;695.251;3062.615;656.04;438.589;581.107;118.755;515.074;6494.777;690.944;3039.864;551.423;368.588;545.687;152.514;409.842;1067.3;3723.7;0;1
"2017-02";56;56;0;6201.162;7563.574;3609.134;0;3954.44;1362.412;143.8;5795.743;54;28.8;25.2;519.1;203.784;202.6;112.691;2604;607.2;243.7;449.343;193.7;784;394.7;5922.216;525.344;2616.978;698.313;243.7;453.098;199.727;394.7;6340.352;630.666;2864.355;512.058;357.597;547.895;151.638;530.955;940.2;3123.1;255.264;0.799
"2015-03";70;70;0;7414.992;9423.56;5526.9;0;3896.66;2008.568;184.6;6235.098;61.6;56;5.6;562.963;261.992;185.4;112.945;2920.537;611.973;319.927;508.458;197.3;800;313.94;6237.486;562.159;2931.806;606.184;318.927;508.458;196.402;313.39;6137.985;582.766;2871.494;532.487;343.416;541.513;160.122;405.934;1003.74;3483.5;257.449;1.007
"2013-03";67.7;65.3;2.4;6665.245;7930.607;4327.1;38.1;3565.407;1265.363;178.9;6392.6;112;91.3;20.7;549.7;298.445;153.724;97.579;2824;805.388;314.412;491;218.4;780;409.7;6382.409;562.352;2904.186;679.004;332.183;491;214.54;420.627;6279.269;588.461;2864.104;620.963;335.822;515.398;172.185;505.675;1008.3;3373.7;328.805;1.286
"2017-10";64.6;64.6;0;6620.118;8482.385;4939.709;0;3542.676;1862.267;126.994;6174.353;43.8;38.5;5.3;614.7;227.417;242.9;144.408;2880.5;451.4;434.6;571.553;157.4;559;505.2;6250.469;616.822;2909.855;491.114;436.763;571.553;158.273;507.468;6022.967;613.223;2772.858;465.669;362.358;549.139;145.765;394.686;891.5;3495.2;87.921;0.706
"2017-04";64.7;64.7;0;5616.531;7104.436;4125.561;0;2978.875;1487.905;152.3;5850.366;25.7;25.7;0;634.4;247.749;238.6;148.035;2768;337.5;364.3;539.066;119.6;775;312.5;6055.847;659.792;2893.608;347.536;388.931;539.066;127.379;328.852;6142.594;637.325;2877.918;440.493;369.283;547.141;136.383;400.524;1031.3;3402.4;181.064;1.09
"2016-01";70.051;70.051;0;6684.614;8213.901;4578;0;3635.901;1529.287;161.7;5727.554;55;37.6;17.4;488.8;211.506;176.5;99.409;2521.6;723.045;194.355;492.354;179.8;865;262.6;5979.239;506.039;2627.071;805.531;215.599;492.354;197.073;274.361;6165.88;598.347;2844.169;528.105;352.549;547.61;142.006;379.825;982;3010.4;325.637;0.878
